Day,Tea Name,Biscuit Name,Reviewer,Tea Score (out of 10),Biscuit Score (out of 10),Combination Score (out of 10)
1,Royal Blend,Chocolossus,Sofia,10,4,1
1,Royal Blend,Chocolossus,Kurtis,9,8,2
1,Royal Blend,Chocolossus,Guess,7,3,3
2,Black Tea with Vanilla,Piccadilly Chocolate Pearl Biscuits,Sofia,6,4,7
2,Black Tea with Vanilla,Piccadilly Chocolate Pearl Biscuits,Kurtis,4,4,4
2,Black Tea with Vanilla,Piccadilly Chocolate Pearl Biscuits,Guess,9,5,7
3,Green Tea with Mandarin ,Piccadilly Stem Ginger Biscuits ,Sofia,7,7,10
3,Green Tea with Mandarin ,Piccadilly Stem Ginger Biscuits ,Kurtis,4,8,7
4,Christmas Black Tea,Christmas Biscuit,Sofia,8,6,5
4,Christmas Black Tea,Christmas Biscuit,Kurtis,6,6,7
5,Victoria Grey Tea,Victoria Grey Tea Biscuit,Sofia,1,2,2
5,Victoria Grey Tea,Victoria Grey Tea Biscuit,Kurtis,8,6,7
6,Jade Oolong Tea,Piccadilly Chocolate Pearl Biscuits,Sofia,7,4,5
6,Jade Oolong Tea,Piccadilly Chocolate Pearl Biscuits,Kurtis,5,4,2
7,Green Tea with Elderflower ,Piccadilly Lemon Curd,Sofia,2,3,3
7,Green Tea with Elderflower ,Piccadilly Lemon Curd,Kurtis,5,6,7
